scenario_id,judge_model,pair_id,author_x,author_y,stratum,prompt_variant,consistent,preferred_author
ab_grief_strict,claude-haiku-4-5,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,True,claude-sonnet-4-6
ab_grief_strict,claude-haiku-4-5,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,True,gpt-4o-mini
ab_grief_strict,claude-haiku-4-5,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,strict,False,
ab_grief_strict,claude-sonnet-4-6,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,True,claude-sonnet-4-6
ab_grief_strict,claude-sonnet-4-6,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,True,gpt-4o-mini
ab_grief_strict,claude-sonnet-4-6,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,strict,True,claude-sonnet-4-6
ab_grief_strict,gpt-4o-mini,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,False,
ab_grief_strict,gpt-4o-mini,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,False,
ab_grief_strict,gpt-4o-mini,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,strict,True,gpt-4o-mini
ab_loneliness_natural,claude-haiku-4-5,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,False,
ab_loneliness_natural,claude-haiku-4-5,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,False,
ab_loneliness_natural,claude-haiku-4-5,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,False,
ab_loneliness_natural,claude-sonnet-4-6,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,True,claude-sonnet-4-6
ab_loneliness_natural,claude-sonnet-4-6,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,True,gpt-4o-mini
ab_loneliness_natural,claude-sonnet-4-6,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,False,
ab_loneliness_natural,gpt-4o-mini,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,False,
ab_loneliness_natural,gpt-4o-mini,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,True,gpt-4o-mini
ab_loneliness_natural,gpt-4o-mini,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,False,
ab_memory_natural,claude-haiku-4-5,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,True,claude-sonnet-4-6
ab_memory_natural,claude-haiku-4-5,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,False,
ab_memory_natural,claude-haiku-4-5,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,False,
ab_memory_natural,claude-sonnet-4-6,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,True,claude-sonnet-4-6
ab_memory_natural,claude-sonnet-4-6,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,True,gpt-4o-mini
ab_memory_natural,claude-sonnet-4-6,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,True,claude-sonnet-4-6
ab_memory_natural,gpt-4o-mini,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,natural,True,claude-sonnet-4-6
ab_memory_natural,gpt-4o-mini,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,natural,True,gpt-4o-mini
ab_memory_natural,gpt-4o-mini,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,natural,False,
ab_silence_strict,claude-haiku-4-5,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,True,claude-haiku-4-5
ab_silence_strict,claude-haiku-4-5,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,True,claude-haiku-4-5
ab_silence_strict,claude-haiku-4-5,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,strict,False,
ab_silence_strict,claude-sonnet-4-6,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,True,claude-sonnet-4-6
ab_silence_strict,claude-sonnet-4-6,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,True,claude-haiku-4-5
ab_silence_strict,claude-sonnet-4-6,claude-sonnet-4-6__vs__gpt-4o-mini,claude-sonnet-4-6,gpt-4o-mini,abstract,strict,False,
ab_silence_strict,gpt-4o-mini,claude-haiku-4-5__vs__claude-sonnet-4-6,claude-haiku-4-5,claude-sonnet-4-6,abstract,strict,False,
ab_silence_strict,gpt-4o-mini,claude-haiku-4-5__vs__gpt-4o-mini,claude-haiku-4-5,gpt-4o-mini,abstract,strict,True,claude-haiku-4-5
